company,target,pattern,cc_pattern
pemex,nz,00011,00011
pepsico,re100,11111,01011
pertamina,nz,00101,00000
perusahaan listrik negara,nz,----1,----1
petrobras,nz,01001,00111
petronas,nz,11111,00000
pfizer,re100,00111,00111
philip morris international,sbti,11111,01111
phoenix group holdings,nz,11---,01---
phoenix pharma,cn,00101,00111
ping an insurance,cn,01111,01110
poste italiane,cn,011--,011--
procter & gamble,sbti,11111,01111
progressive,cn,00001,00110
prudential,re100,1----,0----
prudential financial,nz,10111,00-111
ptt,nz,01111,00011
qualcomm,sbti,-0111,--1011
quanta computer,sbti,00001,00000
randstad,nz,-1---,-0---
reliance industries,nz,10111,00001
renault,sbti,11111,00010
repsol,nz,11111,01011
rewe group,nz,----1,----1
rio tinto group,nz,11111,00001
roche group,sbti,00001,000-10
rosneft oil,cn,00-11,00-10
royal ahold delhaize,sbti,11111,00001
royal bank of canada,nz,11111,00111
rwe,sbti,-11--,-00--
s.f. holding,sbti,-0001,-1001
saic motor,cn,00001,00000
saint-gobain,sbti,11111,00001
salesforce,sbti,--011,--011
samsung c&t,cn,0011-,0001-
samsung electronics,re100,00111,01001
samsung life insurance,re100,001--,0-11--
sanofi,re100,11111,00111
sap,re100,10111,01111
saudi aramco,nz,01111,01011
sberbank,cn,11111,0-1011
schlumberger,nz,---11,---10
schneider electric,re100,11111,01111
seven & i holdings,re100,11111,00000
shaanxi coal & chemical industry,cn,00001,00100
shandong weiqiao pioneering group,cn,00001,00000
siemens,sbti,11111,00011
siemens energy,sbti,01111,01100
sinopec group,cn,10001,0-1001
sk hynix,re100,111-1,000-1
sncf group,sbti,10101,01001
softbank group,re100,00011,00011
sompo holdings,nz,11111,00011
sony,re100,11111,00101
st. james's place,nz,----1,----1
standard chartered,re100,---11,---11
starbucks,re100,-1111,-000-1
state bank of india,cn,11101,0-1110
stellantis,nz,-1111,--1011
stonex group,nz,00001,00001
subaru,cn,1--1-,0--1-
sumitomo,cn,11111,00111
sumitomo electric industries,sbti,11---,00---
sumitomo life insurance,nz,111-1,000-1
sumitomo mitsui financial group,nz,11111,01011
sun life financial,cn,1----,0----
suncor energy,nz,-1101,-0001
suzuki motor,cn,00111,0-1001
swiss re,re100,11111,01111
sysco,sbti,00111,00001
taiwan semiconductor manufacturing,nz,10111,00001
takeda pharmaceutical,sbti,11---,01---
talanx,nz,01111,01111
target,re100,11111,00010
tata motors,re100,11111,01000
telefonica,re100,11111,01011
tencent holdings,sbti,00111,01110
tesco,re100,11111,00011
thermo fisher scientific,sbti,00111,0-101-1
thyssenkrupp,sbti,11111,00000
tiaa,nz,01111,00011
tjx,nz,01111,01011
tokio marine holdings,nz,01111,00111
tokyo electric power,cn,01001,00001
tongwei group,re100,--001,--111
toronto-dominion bank,re100,01111,01111
toshiba,sbti,11---,01---
totalenergies,nz,11101,00011
toyota motor,sbti,00111,01110
toyota tsusho,sbti,00001,00010
trafigura group,cn,00111,01111
travelers,cn,11111,00010
truist financial,nz,0--1-,0--0-
tyson foods,sbti,11111,00001
u.s. bancorp,nz,0--11,0--10
uber technologies,sbti,--011,--001
ubs group,re100,11111,01011
umicore,nz,-1---,-0---
unicredit group,nz,0--11,0--10
unilever,re100,11111,0-10-1-1
uniper,cn,--111,--111
united airlines holdings,sbti,--011,--0-1-1
united parcel service,cn,11111,0111-1
unitedhealth group,sbti,00001,01010
us foods holding,sbti,-0111,-0000
vale,nz,01111,01001
valero energy,cn,11111,00011
veolia environnement,sbti,11111,01011
verizon communications,re100,00011,0-1000
vibra energia,cn,--11-,--11-
vinci,sbti,01111,00111
visa,re100,---11,---11
vodafone group,re100,11111,0-1000
volkswagen,sbti,11111,01011
volvo,sbti,11111,00001
vtb bank,cn,---01,---00
walmart,re100,11111,0-10-1-1
walt disney,sbti,00011,01011
warner bros. discovery,nz,--001,--001
westpac banking,nz,----1,----1
wilmar international,sbti,00001,00000
wistron,sbti,000-1,000-1
woolworths group,re100,01111,00011
world fuel services,cn,-1---,-1---
world kinect,nz,--001,--101
x5 retail group,cn,11101,00000
xiaomi,cn,00011,00010
zf friedrichshafen,sbti,01111,0-1000
zhejiang geely holding group,cn,01111,00000
zijin mining group,cn,01111,00111
zurich insurance group,re100,11111,01111
