company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
bhp group,Other,Industrial goods,,,,1.0,,Other,Metals and mining,,,,1.0,1.0,Other,Energy and utilities,,,,1.0,,Other,Metals and mining,,,,1.0,1.0,Other,Metals and mining,,,,1.0,1.0
bmw group,Europe,Automotive,1.0,1.0,1.0,,,Europe,Automotive,1.0,1.0,1.0,,1.0,Europe,Automotive,1.0,1.0,1.0,,1.0,Europe,Automotive,1.0,1.0,,1.0,1.0,Europe,Automotive,1.0,1.0,,1.0,1.0
bnp paribas,Europe,Financial services,,,1.0,1.0,,Europe,Financial services,,,1.0,1.0,1.0,Europe,Financial services,,,1.0,,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,1.0,,1.0
boehringer ingelheim,Europe,Health care and pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boeing,North America,Aerospace and defense,,,,1.0,,North America,Aerospace and defense,,,,1.0,1.0,North America,Aerospace and defense,,,,1.0,,North America,Aerospace and defense,,,1.0,,1.0,North America,Aerospace and defense,,,,,1.0
bosch group,Europe,Automotive,,,1.0,,,Europe,Automotive,,,1.0,,,Europe,Automotive,,,1.0,,1.0,Europe,Automotive,,,1.0,,1.0,Europe,Automotive,,1.0,1.0,,1.0
bouygues,Europe,Engineering and construction,,,,,,Europe,Engineering and construction,,,,,,Europe,Engineering and construction,,,,,,Europe,Engineering and construction,,1.0,,,,Europe,Engineering and construction,,,,1.0,
bp,Europe,Oil and gas,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Oil and gas,,,,1.0,1.0
bridgestone,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,-1.0,Asia,Automotive,,1.0,1.0,,,,,,,,,,,,,,,,
bristol-myers squibb,North America,Health care and pharmaceuticals,,,1.0,,,North America,Health care and pharmaceuticals,,,1.0,,,North America,Health care and pharmaceuticals,,,1.0,,1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,
british american tobacco,Europe,"Food, beverages and agriculture",,1.0,1.0,,,Europe,"Food, beverages and agriculture",,1.0,1.0,1.0,,Europe,"Food, beverages and agriculture",,1.0,,1.0,1.0,Europe,"Food, beverages and agriculture",,1.0,,1.0,1.0,Europe,Household and personal products,,1.0,,1.0,
brookfield asset management,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,-1.0,North America,Financial services,,,,1.0,,,,,,,,,,,,,,,
bt group,Europe,Telecommunications and media,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bunge,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,,,,,North America,"Food, beverages and agriculture",,1.0,,,,North America,"Food, beverages and agriculture",,1.0,,,,,,,,,,
canon,Asia,Technology,,,,1.0,,Asia,Technology,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
capital one financial,North America,Financial services,1.0,,,,,North America,Financial services,1.0,,,,1.0,North America,Financial services,1.0,,1.0,,-1.0,North America,Financial services,1.0,,1.0,,-1.0,North America,Financial services,,,,1.0,-1.0
cardinal health,North America,Health care and pharmaceuticals,,,,,,North America,Retail,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Retail,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,,
carrefour,Europe,"Food, beverages and agriculture",,1.0,,,,Europe,Retail,,1.0,1.0,,,Europe,"Food, beverages and agriculture",,1.0,1.0,,1.0,Europe,Retail,,1.0,1.0,,,Europe,Retail,,1.0,1.0,,
caterpillar,North America,Industrial goods,,,,,,North America,Industrial goods,,,,,,North America,Industrial goods,,,,,,North America,Industrial goods,,,,,,North America,Engineering and construction,,,,,
cathay financial holding,Asia,Financial services,,,,,,Asia,Financial services,,,,,,,,,,,,,,,,,,,,,,,,,,
chery holding group,Asia,Financial services,,,,,,,,,,,,,,,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,
centene,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,,North America,Health care and pharmaceuticals,,,,,
centrica,Europe,Energy and utilities,,,,1.0,,,,,,,,,,,,,,,,Europe,Energy and utilities,,,,1.0,,,,,,,,
charter communications,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,,1.0,,1.0,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,,1.0,,,North America,Telecommunications and media,,,1.0,,
chemchina,Asia,Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chevron,North America,Oil and gas,,,,,,North America,Oil and gas,,,,1.0,,North America,Energy and utilities,,,,1.0,,North America,Oil and gas,,,,1.0,1.0,North America,Oil and gas,,,,1.0,1.0
china aerospace science & industry,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,,,,,,,,,,,,,,
china aerospace science & technology,Asia,Aerospace and defense,,,,,,Asia,Aerospace and defense,,,,,,,,,,,,,,,,,,,,,,,,,,
china baowu steel group,Asia,Industrial goods,,,1.0,,,Asia,Metals and mining,,,1.0,,1.0,Asia,Industrial goods,,,1.0,,,Asia,Metals and mining,,,1.0,,,Asia,Metals and mining,,,,,1.0
