company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
manulife financial,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,
mapfre group,Europe,Financial services,,,1.0,,,,,,,,,,,,,,,,,Europe,Financial services,,,1.0,,,Europe,Financial services,,,1.0,,1.0
marathon petroleum,North America,Oil and gas,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,,North America,Oil and gas,,,,,,North America,Oil and gas,,,,,
marubeni,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Retail,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,
mazda motor,Asia,Automotive,,,,,,,,,,,,,,,,,,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0
mckesson,North America,Health care and pharmaceuticals,,,,,,North America,Retail,,,1.0,,,North America,Health care and pharmaceuticals,,1.0,,,,North America,Retail,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,,
medipal holdings,Asia,Health care and pharmaceuticals,,,,,,Asia,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,
medtronic,North America,Health care and pharmaceuticals,,,1.0,,,North America,Health care and pharmaceuticals,,,1.0,1.0,1.0,North America,Health care and pharmaceuticals,,,,1.0,,,,,,,,,Europe,Health care and pharmaceuticals,,1.0,,1.0,1.0
meiji yasuda life insurance,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,
merck,North America,Health care and pharmaceuticals,,,1.0,,,North America,Health care and pharmaceuticals,,1.0,1.0,,1.0,North America,Health care and pharmaceuticals,,1.0,1.0,,,North America,Health care and pharmaceuticals,,1.0,1.0,,1.0,North America,Health care and pharmaceuticals,,1.0,,1.0,1.0
metlife,North America,Financial services,,,1.0,,,North America,Financial services,,,1.0,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
metro,Europe,"Food, beverages and agriculture",,1.0,1.0,,,Europe,Retail,,1.0,1.0,,,Europe,Retail,,1.0,1.0,,,Europe,Retail,,1.0,1.0,,,Europe,"Food, beverages and agriculture",,,1.0,,
microsoft,North America,Technology,1.0,1.0,1.0,1.0,,North America,Technology,1.0,1.0,1.0,1.0,,North America,Technology,1.0,1.0,,1.0,1.0,North America,Technology,1.0,1.0,1.0,,1.0,North America,Technology,1.0,1.0,1.0,,1.0
midea group,Asia,Technology,,,,,,Asia,Industrial goods,,,,,-1.0,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Technology,,,,,
migros group,Europe,Retail,,,,,,Europe,Retail,,1.0,1.0,1.0,1.0,Europe,"Food, beverages and agriculture",,1.0,,1.0,1.0,Europe,Retail,,1.0,,1.0,1.0,Europe,Retail,,1.0,,1.0,1.0
mitsubishi,Asia,Financial services,,,,,,,,,,,,,Asia,Retail,,,,1.0,,Asia,Industrial goods,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
mitsubishi chemical holdings,Asia,Chemicals,,,,,,Asia,Chemicals,,,1.0,,1.0,Asia,Chemicals,,,1.0,,,,,,,,,,,,,,,,
mitsubishi electric,Asia,Technology,,1.0,,1.0,,Asia,Industrial goods,,1.0,,1.0,,Asia,Industrial goods,,1.0,,1.0,,Asia,Industrial goods,,1.0,,1.0,,Asia,Technology,,1.0,,1.0,
mitsubishi heavy industries,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,1.0,1.0,Asia,Industrial goods,,,1.0,,,Asia,Industrial goods,,,,1.0,,Asia,Industrial goods,,,,1.0,
mitsubishi ufj financial group,Asia,Financial services,,,1.0,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
mitsui,Asia,Industrial goods,,,1.0,1.0,,Asia,Financial services,,1.0,,1.0,1.0,Asia,Retail,,,,1.0,,Asia,Financial services,,,,,,Asia,Financial services,,,,1.0,1.0
mizuho financial group,Asia,"Food, beverages and agriculture",,,1.0,,,Asia,Financial services,,,1.0,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,-1.0,Asia,Financial services,,,,1.0,-1.0
mondelez international,North America,Financial services,,1.0,,,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,,North America,"Food, beverages and agriculture",,1.0,,1.0,
morgan stanley,North America,Financial services,1.0,,1.0,1.0,,North America,Financial services,1.0,,1.0,1.0,-1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,1.0,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
ms&ad insurance group holdings,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,
munich re group,Europe,Financial services,,,1.0,1.0,,Europe,Financial services,,,1.0,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0
nationwide,North America,Technology,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
nec,Asia,"Food, beverages and agriculture",1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestlé,Europe,Telecommunications and media,1.0,1.0,,1.0,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,,,,,,,,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,-1.0
netflix,North America,Financial services,,1.0,,1.0,,North America,Telecommunications and media,1.0,1.0,,1.0,1.0,North America,Telecommunications and media,,1.0,,1.0,,North America,Telecommunications and media,,1.0,,1.0,1.0,North America,Telecommunications and media,,1.0,,1.0,1.0
new hope holding group,Asia,Financial services,,,,,,Asia,"Food, beverages and agriculture",,,,,-1.0,Asia,"Food, beverages and agriculture",,,,,,Asia,"Food, beverages and agriculture",,,,,,Asia,"Food, beverages and agriculture",,,1.0,,
new york life insurance,North America,Retail,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,,
nike,North America,Financial services,1.0,1.0,,,,North America,Household and personal products,1.0,1.0,,,,North America,Retail,1.0,1.0,,1.0,,North America,Household and personal products,1.0,1.0,,1.0,1.0,North America,Retail,1.0,1.0,,,
nippon life insurance,Asia,Industrial goods,,,1.0,,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,1.0,,,1.0,,Asia,Financial services,1.0,,,1.0,
nippon steel corporation,Asia,Telecommunications and media,,,1.0,,,Asia,Metals and mining,,,1.0,,,Asia,Industrial goods,,,1.0,,1.0,Asia,Metals and mining,,,1.0,,1.0,,,,,,,
nippon telegraph and telephone,Asia,Automotive,,,,,,Asia,Telecommunications and media,,,1.0,,,Asia,Telecommunications and media,,1.0,1.0,,1.0,Asia,Telecommunications and media,,,1.0,,,,,,,,,
nissan motor,Asia,Technology,,1.0,1.0,,,Asia,Automotive,,1.0,1.0,,,Asia,Automotive,,1.0,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0,Asia,Automotive,,1.0,1.0,,1.0
nokia,Europe,Aerospace and defense,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
northrop grumman,North America,Financial services,,,,,,North America,Aerospace and defense,,,,1.0,1.0,North America,Aerospace and defense,,,,1.0,,North America,Aerospace and defense,,,,1.0,,North America,Aerospace and defense,,,,1.0,1.0
northwestern mutual,North America,Health care and pharmaceuticals,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
novartis,Europe,Oil and gas,1.0,1.0,1.0,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,1.0,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
oil & natural gas,Asia,"Food, beverages and agriculture",,,,,,Asia,Metals and mining,,,1.0,,1.0,Asia,Energy and utilities,,,,1.0,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,1.0,1.0
olam international,Asia,Technology,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oracle,North America,Telecommunications and media,,,,,,North America,Technology,,,1.0,1.0,1.0,North America,Technology,,,,1.0,,North America,Technology,,,,1.0,,North America,Technology,,,,1.0,
orange,Europe,Engineering and construction,,1.0,,1.0,,Europe,Telecommunications and media,,1.0,,1.0,1.0,Europe,Telecommunications and media,,1.0,,1.0,,Europe,Telecommunications and media,,1.0,,1.0,1.0,Europe,Telecommunications and media,,1.0,,1.0,1.0
pacific construction group,Asia,Technology,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,1.0,1.0
panasonic,Asia,Technology,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pegatron,Asia,Oil and gas,,,,,,Asia,Industrial goods,,,,,,Asia,Technology,,,,,,Asia,Industrial goods,,,,1.0,,Asia,Technology,,1.0,,1.0,
pemex,North America,Financial services,,,,,,North America,Metals and mining,,,,,,North America,Energy and utilities,,,,,,North America,Metals and mining,,,,1.0,1.0,Other,Metals and mining,,,,1.0,1.0
people's insurance co. of china,Asia,"Food, beverages and agriculture",,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
pepsico,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0,North America,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0
performance food group,North America,Oil and gas,,,,,,North America,Retail,,,,,,North America,Retail,,,,,,North America,Retail,,,,1.0,,North America,"Food, beverages and agriculture",,,,,
pertamina,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,,1.0,
petrobras,Other,Energy and utilities,,,,,,Other,Oil and gas,,,,1.0,,Other,Energy and utilities,,,1.0,,1.0,Other,Oil and gas,,,1.0,,1.0,Other,Oil and gas,,,,1.0,1.0
petronas,Asia,Health care and pharmaceuticals,,,,1.0,,Asia,Oil and gas,,,,1.0,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,1.0,,Asia,Energy and utilities,,,,1.0,
pfizer,North America,"Food, beverages and agriculture",,1.0,1.0,,,North America,Health care and pharmaceuticals,,1.0,1.0,1.0,,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,North America,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
philip morris international,North America,Oil and gas,,1.0,1.0,1.0,,North America,"Food, beverages and agriculture",,1.0,1.0,1.0,1.0,North America,"Food, beverages and agriculture",,1.0,,1.0,1.0,North America,"Food, beverages and agriculture",,1.0,,1.0,1.0,North America,Household and personal products,,1.0,,1.0,1.0
phillips 66,North America,Financial services,,,,,,North America,Oil and gas,,,,,,North America,Energy and utilities,,,,,,North America,Oil and gas,,,,,,North America,Oil and gas,,,,,
phoenix group holdings,Europe,Health care and pharmaceuticals,,,1.0,1.0,,Europe,Financial services,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
phoenix pharma,Europe,Financial services,,,,,,Europe,Retail,,,,1.0,,Europe,Health care and pharmaceuticals,,,1.0,,1.0,Europe,Retail,,,,1.0,1.0,Europe,Health care and pharmaceuticals,,,1.0,,1.0
ping an insurance,Asia,Industrial goods,,,,,,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,
posco,Asia,Financial services,,,1.0,,,Asia,Metals and mining,,,1.0,,,Asia,Industrial goods,,,,1.0,,,,,,,,,,,,,,,
poste italiane,Europe,Financial services,,,,1.0,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,1.0,,1.0,,,,,,,,,,,,,,
power corp. of canada,North America,Engineering and construction,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,,North America,Financial services,,,,,,,,,,,,
powerchina,Asia,Household and personal products,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
procter & gamble,North America,Financial services,1.0,1.0,1.0,,,North America,Household and personal products,1.0,1.0,1.0,1.0,1.0,North America,Household and personal products,1.0,1.0,,1.0,1.0,North America,Household and personal products,1.0,1.0,,1.0,1.0,North America,Household and personal products,,1.0,,1.0,1.0
progressive,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,1.0,,
prudential,Europe,Financial services,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prudential financial,North America,Chemicals,,,1.0,1.0,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,-1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
ptt,Asia,"Food, beverages and agriculture",,,,,,Asia,Oil and gas,,,,1.0,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,1.0,1.0,Asia,Oil and gas,,,,1.0,1.0
publix super markets,North America,Technology,,,,,,North America,Retail,,,,,-1.0,North America,"Food, beverages and agriculture",,,,,,North America,Retail,,,,,,North America,Retail,,,,,
quanta computer,Asia,Financial services,,,,,,Asia,Technology,,,,,,Asia,Technology,,,1.0,,,Asia,Technology,,,1.0,,,Asia,Technology,,1.0,,1.0,
rajesh exports,Asia,Aerospace and defense,,,,,,Asia,Financial services,,,,,-1.0,Asia,Retail,,,,,,Asia,Financial services,,,,,,,,,,,,
raytheon technologies,North America,Oil and gas,,,,,,North America,Aerospace and defense,,,,,,,,,,,,,,,,,,,,,,,,,,
reliance industries,Asia,Automotive,,,,1.0,,Asia,Oil and gas,,,,,,Asia,Energy and utilities,,,,1.0,,Asia,Oil and gas,,,,1.0,,Asia,Oil and gas,,,,1.0,1.0
renault,Europe,Oil and gas,,1.0,1.0,,,Europe,Automotive,,1.0,1.0,,,Europe,Automotive,,1.0,1.0,,,Europe,Automotive,,1.0,,1.0,1.0,Europe,Automotive,,1.0,1.0,,
repsol,Europe,Industrial goods,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Energy and utilities,,,,1.0,,Europe,Oil and gas,,,,1.0,1.0,Europe,Oil and gas,,,,1.0,1.0
rio tinto group,Europe,"Food, beverages and agriculture",,,,1.0,,Europe,Metals and mining,,,,1.0,,Europe,Energy and utilities,,,,1.0,,Europe,Metals and mining,,,,1.0,,Europe,Metals and mining,,,,1.0,1.0
rite aid,North America,Health care and pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roche group,Europe,Oil and gas,,,,1.0,,Europe,Health care and pharmaceuticals,,,,1.0,,Europe,Health care and pharmaceuticals,,,,1.0,,Europe,Health care and pharmaceuticals,,,,1.0,-1.0,Europe,Health care and pharmaceuticals,,1.0,,1.0,
rosneft oil,Europe,"Food, beverages and agriculture",,,,,,Europe,Oil and gas,,,,1.0,,,,,,,,,Europe,Oil and gas,,,1.0,,1.0,Europe,Oil and gas,,,1.0,,
royal ahold delhaize,Europe,Financial services,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,,Europe,"Food, beverages and agriculture",,1.0,,1.0,,Europe,Retail,,1.0,,1.0,,Europe,Retail,,1.0,,1.0,1.0
royal bank of canada,North America,Oil and gas,,,1.0,1.0,,North America,Financial services,,,1.0,1.0,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
royal dutch shell,Europe,Automotive,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saic motor,Asia,Industrial goods,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,,,,Asia,Automotive,,,1.0,,
saint-gobain,Europe,Financial services,,1.0,1.0,,,Europe,Industrial goods,,1.0,,1.0,,Europe,Industrial goods,,1.0,,1.0,,Europe,Industrial goods,,1.0,,1.0,,Europe,Industrial goods,,1.0,,1.0,1.0
samsung c&t,Asia,Technology,,,,,,Asia,Financial services,,,,,,Asia,Retail,,,1.0,,,Asia,Financial services,,,1.0,,1.0,,,,,,,
samsung electronics,Asia,Financial services,,,,,,Asia,Industrial goods,,,,,1.0,Asia,Technology,1.0,,,1.0,,Asia,Industrial goods,1.0,,,1.0,,Asia,Technology,1.0,,,1.0,1.0
samsung life insurance,Asia,Health care and pharmaceuticals,,,,,,Asia,Financial services,,,1.0,,-1.0,Asia,Financial services,1.0,,1.0,,1.0,,,,,,,,,,,,,,
sanofi,Europe,Technology,1.0,1.0,1.0,,,Europe,Health care and pharmaceuticals,1.0,1.0,1.0,1.0,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,1.0
sap,Europe,Oil and gas,1.0,1.0,1.0,,,Europe,Technology,,1.0,1.0,1.0,1.0,Europe,Technology,1.0,1.0,,1.0,1.0,Europe,Technology,1.0,1.0,,1.0,1.0,Europe,Technology,1.0,1.0,,1.0,1.0
saudi aramco,Other,Financial services,,,,,,Other,Metals and mining,,,,1.0,1.0,Other,Energy and utilities,,,,1.0,,Asia,Metals and mining,,,,1.0,1.0,Other,Metals and mining,,,,1.0,1.0
sberbank,Europe,Technology,,,1.0,,,Europe,Financial services,,,1.0,,-1.0,Europe,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,1.0,Europe,Financial services,,,1.0,,1.0
schneider electric,Europe,Retail,1.0,1.0,1.0,,,Europe,Industrial goods,1.0,1.0,1.0,1.0,1.0,Europe,Industrial goods,1.0,1.0,,1.0,1.0,Europe,Industrial goods,1.0,1.0,,1.0,1.0,Europe,Technology,1.0,1.0,,1.0,1.0
seven & i holdings,Asia,Oil and gas,1.0,,,1.0,,Asia,Retail,1.0,,,1.0,,Asia,Retail,1.0,,1.0,,,Asia,Retail,1.0,,,1.0,,Asia,Retail,1.0,,,1.0,
shaanxi coal & chemical industry,Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,1.0,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,1.0,,
shaanxi yanchang petroleum (group),Asia,Oil and gas,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
shandong energy group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
hunan iron & steel group,Asia,Retail,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Metals and mining,,,,,
shandong weiqiao pioneering group,North America,Engineering and construction,,,,,,Asia,Household and personal products,,,,,,Asia,Industrial goods,,,,,,Asia,Household and personal products,,,,1.0,,Asia,Household and personal products,,,1.0,,
shanghai construction group,Asia,Health care and pharmaceuticals,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,,Asia,Engineering and construction,,,,,
shanghai pharmaceuticals holding,Asia,Financial services,,,,,,Asia,Retail,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Retail,,,,,,Asia,Health care and pharmaceuticals,,,,,
shanghai pudong development bank,Asia,Oil and gas,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
shanxi coking coal group,Asia,Chemicals,,,,,,Asia,Metals and mining,,,,,,Asia,Energy and utilities,,,,,,Asia,Metals and mining,,,,,,,,,,,,
shenghong holding group,Asia,Financial services,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,,Asia,Chemicals,,,,,
shenzhen investment holdings,Asia,Industrial goods,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
shougang group,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,Asia,Industrial goods,,,,,,Asia,Metals and mining,,,,,,,,,,,,
siemens,Europe,Energy and utilities,1.0,1.0,1.0,,,Europe,Industrial goods,1.0,1.0,1.0,1.0,,Europe,Industrial goods,1.0,1.0,,1.0,,Europe,Industrial goods,1.0,1.0,,1.0,1.0,Europe,Industrial goods,,1.0,,1.0,1.0
siemens energy,Europe,Chemicals,,,1.0,,,Europe,Energy and utilities,,1.0,1.0,1.0,1.0,Europe,Energy and utilities,,1.0,1.0,,1.0,Europe,Energy and utilities,,1.0,,1.0,,Europe,Energy and utilities,,1.0,1.0,,
sinochem,Asia,Industrial goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sinomach,Asia,Oil and gas,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,,Asia,Industrial goods,,,,,
sinopec group,Asia,Health care and pharmaceuticals,,,1.0,,,Asia,Oil and gas,,,,,-1.0,Asia,Energy and utilities,,,,,,Asia,Oil and gas,,,,,,Asia,Oil and gas,,,1.0,,1.0
sinopharm,Asia,Oil and gas,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Retail,,,,,,Asia,Health care and pharmaceuticals,,,,,,Asia,Health care and pharmaceuticals,,,,,
sk,Asia,Technology,1.0,,,1.0,,,,,,,,,,,,,,,,Asia,Oil and gas,,,1.0,,1.0,Asia,Oil and gas,1.0,,,1.0,1.0
sk hynix,Asia,Transportation and logistics,1.0,,,,,Asia,Industrial goods,1.0,,,1.0,,Asia,Technology,1.0,,,1.0,,,,,,,,,Asia,Technology,1.0,,,1.0,1.0
sncf group,Europe,Financial services,,1.0,1.0,,,Europe,Transportation and logistics,,,1.0,,1.0,Europe,Transportation and logistics,,1.0,1.0,,,Europe,Transportation and logistics,,,,1.0,,Europe,Transportation and logistics,,1.0,,,1.0
société générale,Europe,Telecommunications and media,,,1.0,,,Europe,Financial services,,,1.0,,,Europe,Financial services,,,1.0,,,,,,,,,,,,,,,,
softbank group,Asia,Financial services,,1.0,1.0,,,Asia,Telecommunications and media,,1.0,1.0,,,Asia,Telecommunications and media,,1.0,1.0,,,Asia,Telecommunications and media,1.0,1.0,,1.0,1.0,Asia,Telecommunications and media,1.0,1.0,,1.0,1.0
sompo holdings,Asia,Technology,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
sony,Asia,Financial services,1.0,1.0,,1.0,,Asia,Industrial goods,1.0,1.0,1.0,,,Asia,Technology,1.0,1.0,,1.0,1.0,Asia,Industrial goods,1.0,1.0,,1.0,,Asia,Technology,1.0,1.0,,1.0,1.0
state bank of india,Asia,Financial services,,,1.0,,,Asia,Financial services,,,1.0,,-1.0,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,1.0,,
state farm insurance,North America,Energy and utilities,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
state grid,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,
state power investment,Asia,Financial services,,,,,,Asia,Energy and utilities,,,1.0,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,,Asia,Energy and utilities,,,,,
stonex group,North America,Automotive,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,1.0,1.0
subaru,Asia,Financial services,,,1.0,,,,,,,,,,,,,,,,,Asia,Automotive,,,1.0,,1.0,,,,,,,
sumitomo,Asia,Automotive,,,1.0,,,Asia,Financial services,,,1.0,,,Asia,Retail,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0,Asia,Financial services,,,1.0,,1.0
sumitomo electric industries,Asia,Financial services,,1.0,1.0,,,Asia,Automotive,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
sumitomo life insurance,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,,,,,,,,,Asia,Financial services,,,,1.0,1.0
sumitomo mitsui financial group,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,,Asia,Financial services,,,,1.0,1.0,Asia,Financial services,,,,1.0,1.0
sun life financial,North America,Real estate,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sunac china holdings,Asia,Retail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suning.com group,Asia,Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suzuki motor,Asia,Financial services,,,,,,Asia,Automotive,,,,1.0,-1.0,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,,Asia,Automotive,,,1.0,,1.0
swiss re,Europe,Technology,1.0,,1.0,1.0,,Europe,Financial services,1.0,,1.0,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
synnex,North America,"Food, beverages and agriculture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sysco,North America,Financial services,,,,,,North America,Retail,,,,,,North America,Retail,,1.0,,,,North America,Retail,,1.0,,,,North America,"Food, beverages and agriculture",,1.0,,,1.0
taikang insurance group,Asia,Technology,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
taiwan semiconductor manufacturing,Asia,Health care and pharmaceuticals,1.0,,,1.0,,Asia,Industrial goods,1.0,,,,,Asia,Technology,1.0,,,1.0,,Asia,Industrial goods,,,,1.0,,Asia,Technology,,,,1.0,1.0
takeda pharmaceutical,Asia,Financial services,,1.0,1.0,1.0,,Asia,Health care and pharmaceuticals,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
talanx,Europe,Retail,,,1.0,,,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0,Europe,Financial services,,,,1.0,1.0
target,North America,Automotive,1.0,1.0,,1.0,,North America,Retail,1.0,1.0,,1.0,,North America,Retail,1.0,1.0,,1.0,,North America,Retail,1.0,1.0,,1.0,1.0,North America,Retail,1.0,1.0,,1.0,
