company,re100,sbti,cn,nz,cc
nokia,0----,1----,0----,0----,-----
northrop grumman,00000,00000,00000,01110,-1--1
northwestern mutual,00000,00000,00000,00000,-----
novartis,11111,11111,11000,11110,--111
oil & natural gas,00000,00000,01000,00100,-1--1
olam international,0----,1----,0----,0----,-----
oracle,00000,00000,01000,01110,-1---
orange,00000,11111,00000,11110,-1-11
pacific construction group,00000,00000,00000,00000,----1
panasonic,1----,1----,0----,1----,-----
pegatron,00000,00001,00000,00010,-----
pemex,00000,00000,00000,00010,---11
people's insurance co. of china,00000,00000,00001,00000,-----
pepsico,11111,11111,00000,11110,-1-11
performance food group,00000,00000,00000,00010,-----
pertamina,00000,00000,00000,00100,-----
petrobras,00000,00000,00110,01000,--111
petronas,00000,00000,00000,11110,-----
pfizer,00111,11111,11000,01110,--111
philip morris international,00000,11111,11000,11110,-1111
phillips 66,00000,00000,00000,00000,-----
phoenix group holdings,00---,00---,10---,11---,-1---
phoenix pharma,00000,00000,00100,01011,--111
ping an insurance,00000,00000,01110,00001,-111-
posco,000--,000--,110--,001--,-----
poste italiane,000--,000--,011--,100--,-11--
power corp. of canada,0000-,0000-,0000-,0010-,-----
powerchina,00000,00000,00001,00000,-----
procter & gamble,11110,11111,11000,01110,-1111
progressive,00000,00000,00000,00111,--11-
prudential,1----,0----,0----,0----,-----
prudential financial,00000,00000,10000,10110,---111
ptt,00000,00000,00000,01110,---11
publix super markets,00000,00000,00000,00000,--1---
quanta computer,00000,00001,00110,00000,-----
rajesh exports,0000-,0000-,0000-,0000-,--1---
raytheon technologies,00---,00---,00---,00---,-----
reliance industries,00000,00000,00000,10110,----1
renault,00000,11111,11100,00011,---1-
repsol,00000,00000,00000,11110,-1-11
rio tinto group,00000,00000,00000,11110,----1
rite aid,0----,0----,0----,0----,-----
roche group,00000,00001,00000,11110,----1-
rosneft oil,00-00,00-00,00-10,01-01,---1-
royal ahold delhaize,00000,11111,00000,11110,----1
royal bank of canada,00000,00000,11000,11110,--111
royal dutch shell,0----,0----,0----,1----,-----
saic motor,00000,00000,00000,00001,-----
saint-gobain,00000,11111,10000,01110,----1
samsung c&t,0000-,0000-,0011-,0000-,---1-
samsung electronics,00111,00000,00000,00110,-1--1
samsung life insurance,001--,000--,011--,000--,--11--
sanofi,11111,11111,11000,01110,--111
sap,10111,11111,11000,01110,-1111
saudi aramco,00000,00000,00000,01110,-1-11
sberbank,00000,00000,11110,00001,--1-11
schneider electric,11111,11111,11000,01110,-1111
seven & i holdings,11111,00000,00100,11010,-----
shaanxi coal & chemical industry,00000,00000,00000,00001,--1--
shaanxi yanchang petroleum (group),00000,00000,00000,00000,-----
shandong energy group,00000,00000,00001,00000,-----
hunan iron & steel group,00000,00000,00001,00000,-----
shandong weiqiao pioneering group,00000,00000,00000,00011,-----
shanghai construction group,00000,00000,00001,00000,-----
shanghai pharmaceuticals holding,00000,00000,00001,00000,-----
shanghai pudong development bank,00000,00000,00001,00000,-----
shanxi coking coal group,0000-,0000-,0000-,0000-,-----
shenghong holding group,00000,00000,00000,00000,-----
shenzhen investment holdings,00000,00000,00000,00000,-----
shougang group,0000-,0000-,0000-,0000-,-----
siemens,11110,11111,11000,01110,---11
siemens energy,00000,01111,11100,01011,-11--
sinochem,0----,0----,0----,0----,-----
sinomach,00000,00000,00001,00000,-----
sinopec group,00000,00000,10000,00001,--1--1
sinopharm,00000,00000,00000,00000,-----
sk,1--01,0--00,0--10,1--00,---11
sk hynix,111-1,000-0,000-0,011-0,----1
sncf group,00000,10101,11101,00010,-1--1
société générale,000--,000--,111--,000--,-----
softbank group,00011,11111,11100,00010,---11
sompo holdings,00000,00000,00000,11110,---11
sony,11111,11111,01000,10110,--1-1
state bank of india,00000,00000,11100,00011,--111-
state farm insurance,00000,00000,00000,00000,-----
state grid,00000,00000,00001,00000,-----
state power investment,00000,00000,01000,00000,-----
stonex group,00000,00000,00000,00000,----1
subaru,0--0-,0--0-,1--1-,0--0-,---1-
sumitomo,00000,00000,11110,00001,--111
sumitomo electric industries,00---,11---,11---,00---,-----
sumitomo life insurance,000-0,000-0,000-0,111-0,----1
sumitomo mitsui financial group,00000,00000,00000,11110,-1-11
sun life financial,0----,0----,1----,0----,-----
sunac china holdings,0----,0----,0----,0----,-----
suning.com group,0----,0----,0----,0----,-----
suzuki motor,00000,00000,00110,01001,--1--1
swiss re,11111,00000,11000,11110,-1111
synnex,0----,0----,0----,0----,-----
sysco,00000,00111,00000,00000,----1
taikang insurance group,00000,00000,00001,00000,-----
taiwan semiconductor manufacturing,11100,00000,00000,10110,----1
takeda pharmaceutical,00---,11---,11---,11---,-1---
talanx,00000,00000,10000,01110,-1111
target,11111,11111,00000,11110,---1-
tata motors,11111,01000,00000,10100,-1---
telefonica,11111,11111,00000,11110,-1-11
tencent holdings,00000,00111,01010,00100,-111-
tesco,11111,11111,00000,11110,---11
tesla,00000,00000,00000,00000,-----
thermo fisher scientific,00000,00111,00000,11110,--1-1-1
thyssenkrupp,00000,11111,11110,00000,-----
tiaa,00000,00000,00000,01110,---11
tjx,00000,00000,00000,01110,-1-11
tokio marine holdings,00000,00000,11000,01110,--111
tongling nonferrous metals group,00000,00000,00001,00000,-----
toronto-dominion bank,01111,00000,11000,11110,-1111
toshiba,00---,11---,00---,01---,-1---
totalenergies,00000,00000,00010,11100,---11
toyota motor,00000,00111,11110,00001,-111-
toyota tsusho,00000,00001,11100,00010,---1-
trafigura group,00000,00000,00110,00001,-1111
travelers,00000,00000,11110,00001,---1-
truist financial,0--0-,0--0-,0--0-,0--1-,-----
tsingshan holding group,00000,00000,00000,00000,-----
tyson foods,00000,11111,00000,11110,----1
u.s. bancorp,0--00,0--00,0--00,0--10,---1-
u.s. postal service,00000,00000,00000,00000,-----
ubs group,11111,00000,11000,11110,-1-11
unicredit group,0--00,0--00,0--00,0--10,---1-
unilever,11111,11111,00000,11110,--1--1-1
united natural foods,0----,0----,0----,0----,-----
united parcel service,00000,00000,11110,00001,-111-1
unitedhealth group,00000,00001,00000,01110,-1-1-
usaa,00000,00000,00000,00000,-----
vale,00000,00000,10000,01110,-1--1
valero energy,00000,00000,11110,00001,---11
veolia environnement,00000,11111,00000,01110,-1-11
verizon communications,00011,11110,10000,01110,--1---
viacomcbs,0----,0----,0----,0----,-----
vinci,00000,01111,11110,00000,--111
vodafone group,11111,11111,00000,11110,--1---
volkswagen,00000,11111,11110,00001,-1-11
volvo,00000,11111,11010,11100,----1
