2024,,,,2025,,,
Company name,Sector (final classification),Region,NZ,Company name,Sector (final classification),Region,NZ
Banco Bradesco,Financial services,Other,1,Citigroup,Financial services,North America,1
Banco do Brasil,Financial services,Other,,Stellantis,Automotive,Europe,1
Banco Santander,Financial services,Europe,1,Meta Platforms,Retail,North America,1
Bank of America,Financial services,North America,1,Centene,Health care and pharmaceuticals,North America,0
Bank of China,Financial services,Asia,,China Railway Engineering Group,Engineering and construction,Asia,0
Bank of Communications,Financial services,Asia,,JD.com,Retail,Asia,0
Bank of Montreal,Financial services,North America,1,China Life Insurance,Financial services,Asia,0
Bank of New York Mellon,Financial services,North America,,Home Depot,Retail,North America,0
Bank of Nova Scotia,Financial services,North America,1,Ping An Insurance,Financial services,Asia,0
Barclays,Financial services,Europe,1,Mercedes-Benz Group,Automotive,Europe,0
BASF,Chemicals,Europe,1,BMW Group,Automotive,Europe,1
Bayer,Health care and pharmaceuticals,Europe,1,Fannie Mae,Financial services,North America,0
Beijing Automotive Group,Automotive,Asia,,China Railway Construction,Engineering and construction,Asia,0
Beijing Jianlong Heavy Industry Group,Metals and mining,Asia,,Walgreens Boots Alliance,Health care and pharmaceuticals,North America,0
Berkshire Hathaway,Financial services,North America,,Kroger,Retail,North America,0
Best Buy,Retail,North America,1,BNP Paribas,Financial services,Europe,0
Bharat Petroleum,Oil and gas,Asia,1,Banco Santander,Financial services,Europe,1
BHP Group,Metals and mining,Other,1,HSBC Holdings,Financial services,Europe,1
BMW Group,Automotive,Europe,1,Phillips 66,Oil and gas,North America,0
BNP Paribas,Financial services,Europe,,China Mobile Communications,Telecommunications and media,Asia,0
Boeing,Aerospace and defense,North America,,Honda Motor,Automotive,Asia,0
Bosch Group,Automotive,Europe,,Marathon Petroleum,Oil and gas,North America,0
Bouygues,Engineering and construction,Europe,,China Communications Construction,Engineering and construction,Asia,0
BP,Oil and gas,Europe,1,CITIC Group,Financial services,Asia,0
Bristol-Myers Squibb,Health care and pharmaceuticals,North America,1,Alibaba Group Holding,Retail,Asia,0
British American Tobacco,"Food, beverages and agriculture",Europe,1,Verizon Communications,Telecommunications and media,North America,1
Broadcom,Technology,North America,,China National Offshore Oil,Metals and mining,Asia,0
Brookfield,Financial services,North America,1,Nvidia,Technology,North America,0
Bunge,"Food, beverages and agriculture",North America,,China Resources,Financial services,Asia,0
BYD,Automotive,Asia,,Hyundai Motor,Automotive,Asia,0
Caixa Economica Federal,Financial services,Other,,Electricite de France,Energy and utilities,Europe,1
Canadian Imperial Bank of Commerce,Financial services,North America,1,Goldman Sachs Group,Financial services,North America,1
Capital One Financial,Financial services,North America,,Wells Fargo,Financial services,North America,0
Cardinal Health,Retail,North America,,Deutsche Telekom,Telecommunications and media,Europe,1
Carrefour,Retail,Europe,,China Baowu Steel Group,Metals and mining,Asia,0
Caterpillar,Industrial goods,North America,,Valero Energy,Oil and gas,North America,0
Cencora,Retail,North America,,Comcast,Telecommunications and media,North America,0
Cenovus Energy,Metals and mining,North America,1,Allianz,Financial services,Europe,1
Centene,Health care and pharmaceuticals,North America,,State Farm Insurance,Financial services,North America,0
Centrica,Energy and utilities,Europe,1,AT&T,Telecommunications and media,North America,1
CFE,Industrial goods,North America,,Mitsubishi,Financial services,Asia,1
Charter Communications,Telecommunications and media,North America,,Freddie Mac,Financial services,North America,0
Chery Holding Group,Automotive,Asia,,Hengli Group,Household and personal products,Asia,0
Chevron,Oil and gas,North America,1,Shandong Energy Group,Metals and mining,Asia,0
China Baowu Steel Group,Metals and mining,Asia,,Huawei Investment & Holding,Technology,Asia,0
China Communications Construction,Engineering and construction,Asia,,China Southern Power Grid,Energy and utilities,Asia,0
China Construction Bank,Financial services,Asia,,Humana,Health care and pharmaceuticals,North America,0
China Datang,Energy and utilities,Asia,,China Minmetals,Metals and mining,Asia,0
China Electronics,Industrial goods,Asia,,Gazprom,Energy and utilities,Europe,0
