company,sector,region,re100,sbti,cn,nz,cc
korea gas,Oil and gas,Asia,--00-,--00-,--10-,--00-,--00-
kraft heinz,"Food, beverages and agriculture",North America,0----,0----,0----,0----,0----
kroger,Retail,North America,00000,00000,00000,00000,00000
kuehne + nagel international,Transportation and logistics,Europe,-00--,-11--,-10--,-01--,-00--
l'oreal,Household and personal products,Europe,00000,11111,11000,11111,001-11
la poste,Transportation and logistics,Europe,11001,11111,11000,01111,01100
landesbank baden-wurttemberg,Financial services,Europe,---00,---00,---00,---11,---01
legal & general group,Financial services,Europe,00---,00---,00---,11---,00---
lennar,Engineering and construction,North America,--000,--000,--000,--000,--000
lenovo group,Technology,Asia,00000,11111,00000,01111,01010
lg chem,Chemicals,Asia,00000,00000,00000,01111,01111
lg electronics,Technology,Asia,00111,01111,11111,00000,00111
liberty mutual insurance group,Financial services,North America,00000,00000,00000,00000,0-1000
life insurance corp. of india,Financial services,Asia,-0000,-0000,-0000,-0000,-0000
linde,Chemicals,Europe,00000,00111,00111,00000,00000
lithia motors,Retail,North America,----0,----0,----0,----0,----1
lloyds banking group,Financial services,Europe,11-11,00-00,00-00,11-11,01-11
lockheed martin,Aerospace and defense,North America,00000,00000,00000,00000,00000
longfor group holdings,Financial services,Asia,000--,000--,000--,000--,001--
louis dreyfus,"Food, beverages and agriculture",Europe,00000,00000,00000,00000,00001
lowe's,Retail,North America,00000,00000,00000,01111,00000
lu'an chemical group,Energy and utilities,Asia,-00--,-00--,-00--,-00--,-00--
lufthansa group,Transportation and logistics,Europe,--000,--011,--111,--000,--111
lukoil,Oil and gas,Europe,00-00,00-00,00-00,00-10,00-00
luxshare precision industry,Technology,Asia,--000,--011,--111,--000,--100
lyondellbasell industries,Chemicals,Europe,00000,00000,00000,01111,01010
maersk group,Transportation and logistics,Europe,00000,00011,10000,11111,01011
magna international,Automotive,North America,00000,00011,11100,00011,00101
magnit,Retail,Europe,--0-0,--0-1,--0-0,--0-1,--0-0
