year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,Hailiang Group,Asia,Financial services,,,,,,,,
2021,Hanwha,Asia,Financial services,,,,,,,,
2021,HBIS Group,Asia,Industrial goods,,,1,,,,,
2021,HCA Healthcare,North America,Health care and pharmaceuticals,,,,,,,,
2021,Hengli Group,Asia,Retail,,,,,,,,
2021,Heraeus Holding,Europe,Industrial goods,,,,,,,,
2021,Hewlett Packard Enterprise,North America,Technology,1,1,,1,,,,
2021,Hitachi,Asia,Technology,,1,1,,,,,
2021,Holcim,Europe,Industrial goods,,,,1,,,,
2021,Home Depot,North America,Retail,,,,,,,,
2021,Hon Hai Precision Industry,Asia,Technology,,,,1,,,,
2021,Honda Motor,Asia,Automotive,,,1,,,,,
2021,Honeywell International,North America,Technology,,,1,,,,,
2021,HP,North America,Technology,1,1,1,1,,,,
2021,HSBC Holdings,Europe,Financial services,1,,,1,,,,
2021,Huawei Investment & Holding,Asia,Technology,,,,,,,,
2021,Huayang New Material Technology Group,Asia,Industrial goods,,,,,,,,
2021,Humana,North America,Health care and pharmaceuticals,,,,,,,,
2021,Hyundai Mobis,Asia,Automotive,,,,,,,,
2021,Hyundai Motor,Asia,Automotive,1,,1,,,,,
2021,Iberdrola,Europe,Energy and utilities,,1,1,,,,,
2021,Idemitsu Kosan,Asia,Oil and gas,,,1,,,,,
2021,Indian Oil,Asia,Oil and gas,,,,,,,,
2021,Industrial & Commercial Bank of China,Asia,Financial services,,,,,,,,
2021,Industrial Bank,Asia,Financial services,,,,,,,,
2021,ING Group,Europe,Financial services,1,,1,,,,,
2021,Ingka Group,Europe,Retail,1,1,,1,,,,
2021,Intel,North America,Technology,1,,1,,,,,
2021,International Business Machines,North America,Technology,,,,1,,,,
2021,Intesa Sanpaolo,Europe,Financial services,,,,,,,,
2021,Itaú Unibanco Holding,Other,Financial services,,,,,,,,
2021,Itochu,Asia,Financial services,,,1,1,,,,
2021,J. Sainsbury,Europe,"Food, beverages and agriculture",,1,,1,,,,
2021,Jabil,North America,Technology,,,,,,,,
2021,Japan Post Holdings,Asia,Financial services,,,1,,,,,
2021,Jardine Matheson,North America,Automotive,,,,,,,,
2021,JBS,Other,"Food, beverages and agriculture",,,,1,,,,
2021,JD.com,Asia,Technology,,,,,,,,
2021,JFE Holdings,Asia,Industrial goods,,,,,,,,
2021,Jiangsu Shagang Group,Asia,Industrial goods,,,,,,,,
2021,Jiangxi Copper,Asia,Industrial goods,,,,,,,,
2021,Jinchuan Group,Asia,Industrial goods,,,,,,,,
2021,Jingye Group,Asia,Industrial goods,,,,,,,,
2021,Jinneng Holding Group,Asia,Oil and gas,,,,,,,,
2021,Johnson & Johnson,North America,Health care and pharmaceuticals,1,1,1,1,,,,
2021,JPMorgan Chase,North America,Financial services,1,,1,,,,,
2021,Kansai Electric Power,Asia,Energy and utilities,,,,,,,,
2021,KB Financial Group,Asia,Financial services,,,,1,,,,
2021,KDDI,Asia,Telecommunications and media,,,,1,,,,
2021,Kia,Asia,Automotive,,,,,,,,
2021,Koç Holding,Other,Energy and utilities,,,1,,,,,
2021,Korea Electric Power,Asia,Energy and utilities,,,,,,,,
2021,Kraft Heinz,North America,"Food, beverages and agriculture",,,,,,,,
