company,re100,sbti,cn,nz,cc
siemens energy,00000,01111,11100,01010,01100
sinomach,00000,00000,00001,00000,00000
sinopec group,00000,00000,10000,00000,0-1001
sinopharm,00000,00000,00000,00000,00000
sk hynix,111-1,000-0,000-0,011-1,000-1
sncf group,00000,10101,11101,00010,01001
softbank group,00011,11111,11100,00011,00011
sompo holdings,00000,00000,00000,11111,00011
sony,11111,11111,01000,10111,00101
st. james's place,----0,----0,----0,----1,----1
standard chartered,---11,---00,---00,---11,---11
starbucks,-1111,-1111,-0000,-0011,-000-1
state bank of india,00000,00000,11100,00010,0-1110
state farm insurance,00000,00000,00000,00000,00000
state grid,00000,00000,00001,00000,00000
state power investment,00000,00000,01000,00000,00000
stellantis,-0000,-0000,-0000,-1111,--1011
stonex group,00000,00000,00000,00001,00001
subaru,0--0-,0--0-,1--1-,0--0-,0--1-
sumitomo,00000,00000,11110,00000,00111
sumitomo electric industries,00---,11---,11---,00---,00---
sumitomo life insurance,000-0,000-0,000-0,111-1,000-1
sumitomo mitsui financial group,00000,00000,00000,11111,01011
sun life financial,0----,0----,1----,0----,0----
sunac china holdings,0----,0----,0----,0----,0----
suncor energy,-0000,-0000,-0000,-1101,-0001
suning.com group,0----,0----,0----,0----,0----
susun construction group,-0000,-0000,-0000,-0000,-0000
suzuki motor,00000,00000,00110,01000,0-1001
swiss re,11111,00000,11000,11111,01111
sysco,00000,00111,00000,00000,00001
taikang insurance group,00000,00000,00001,00000,00000
taiwan semiconductor manufacturing,11100,00000,00000,10111,00001
takeda pharmaceutical,00---,11---,11---,11---,01---
talanx,00000,00000,10000,01111,01111
target,11111,11111,00000,11111,00010
tata motors,11111,01000,00000,10101,01000
tata steel,-0---,-0---,-0---,-0---,-0---
telefonica,11111,11111,00000,11111,01011
tencent holdings,00000,00111,01010,00101,01110
tesco,11111,11111,00000,11111,00011
tesla,00000,00000,00000,00000,00000
thermo fisher scientific,00000,00111,00000,11111,0-101-1
thyssenkrupp,00000,11111,11110,00001,00000
tiaa,00000,00000,00000,01111,00011
tjx,00000,00000,00000,01111,01011
tokio marine holdings,00000,00000,11000,01111,00111
tokyo electric power,00000,00000,01000,00100,00001
tongling nonferrous metals group,00000,00000,00001,00000,00000
tongwei group,--001,--000,--110,--000,--111
toronto-dominion bank,01111,00000,11000,11111,01111
toshiba,00---,11---,00---,01---,01---
totalenergies,00000,00000,00010,11101,00011
toyota motor,00000,00111,11110,00000,01110
toyota tsusho,00000,00001,11100,00011,00010
trafigura group,00000,00000,00110,00000,01111
travelers,00000,00000,11110,00000,00010
truist financial,0--0-,0--0-,0--0-,0--1-,0--0-
tsingshan holding group,00000,00000,00000,00000,00000
tyson foods,00000,11111,00000,11111,00001
u.s. bancorp,0--00,0--00,0--00,0--11,0--10
u.s. postal service,00000,00000,00000,00000,00000
uber technologies,--000,--011,--000,--111,--001
ubs group,11111,00000,11000,11111,01011
umicore,-0---,-0---,-0---,-1---,-0---
unicredit group,0--00,0--00,0--00,0--11,0--10
unilever,11111,11111,00000,11111,0-10-1-1
uniper,--000,--000,--110,--000,--111
united airlines holdings,--000,--011,--000,--111,--0-1-1
united natural foods,0----,0----,0----,0----,0----
united parcel service,00000,00000,11110,00000,0111-1
unitedhealth group,00000,00001,00000,01111,01010
us foods holding,-0000,-0111,-0000,-0000,-0000
usaa,00000,00000,00000,00000,00000
vale,00000,00000,10000,01111,01001
valero energy,00000,00000,11110,00000,00011
veolia environnement,00000,11111,00000,01111,01011
verizon communications,00011,11110,10000,01111,0-1000
vibra energia,--00-,--00-,--11-,--00-,--11-
vinci,00000,01111,11110,00001,00111
visa,---11,---11,---10,---01,---11
vodafone group,11111,11111,00000,11111,0-1000
volkswagen,00000,11111,11110,00000,01011
volvo,00000,11111,11010,11101,00001
vtb bank,---00,---00,---00,---00,---00
walgreens boots alliance,00000,00000,01000,00010,00000
walmart,11111,11111,00000,11111,0-10-1-1
walt disney,00000,00011,00000,11111,01011
warner bros. discovery,--000,--000,--000,--001,--001
weichai power,00---,00---,00---,00---,00---
wells fargo,11000,00000,11000,11110,01111
westpac banking,----0,----0,----0,----1,----1
wh group,0----,0----,0----,0----,0----
wilmar international,00000,00001,00000,00001,00000
wistron,000-0,000-1,001-0,000-1,000-1
woolworths group,01111,11111,00000,11111,00011
world fuel services,-0---,-0---,-1---,-0---,-1---
world kinect,--000,--000,--100,--001,--101
wuchan zhongda group,00000,00000,00000,00000,00000
x5 retail group,00000,00000,11100,00000,00000
xiamen c&d,00000,00000,00001,00000,00000
xiamen itg holding group,00000,00000,00001,00000,00000
xiaomi,00000,00000,00010,00000,00010
xinjiang guanghui industry investment,000--,000--,000--,000--,000--
xinjiang zhongtai group,-00--,-00--,-00--,-00--,-00--
xmxyg,00000,00000,00001,00000,00000
yango longking group,0----,0----,0----,0----,0----
yunnan provincial investment holding group,00---,00---,00---,00---,00---
zf friedrichshafen,00000,01111,11010,00100,0-1000
zhejiang communications investment group,00000,00000,00001,00000,00000
zhejiang geely holding group,00000,00000,01110,00000,00000
zhejiang hengyi group,00000,00000,00001,00000,00000
zhejiang rongsheng holding group,00000,00000,00001,00000,00000
zijin mining group,00000,00000,01110,00000,00111
zurich insurance group,11111,00000,11000,11111,01111
