company,sector,nz_2024,nz_2025,gained_nz,lost_nz
Intel,Industrial goods,1.0,,False,False
Intel,Technology,,1.0,False,False
Intesa Sanpaolo,Financial services,1.0,1.0,False,False
Itau Unibanco Holding,Financial services,1.0,1.0,False,False
Itochu,Financial services,1.0,1.0,False,False
J. Sainsbury,Retail,1.0,1.0,False,False
JBS,"Food, beverages and agriculture",1.0,1.0,False,False
JD.com,Retail,0.0,0.0,False,False
JPMorgan Chase,Financial services,1.0,1.0,False,False
Japan Post Holdings,Financial services,0.0,0.0,False,False
Jardine Matheson,Automotive,1.0,1.0,False,False
Jiangsu Shagang Group,Metals and mining,0.0,0.0,False,False
Jiangxi Copper,Metals and mining,0.0,0.0,False,False
Jinchuan Group,Metals and mining,0.0,0.0,False,False
Jingye Group,Metals and mining,0.0,0.0,False,False
Jinneng Holding Group,Metals and mining,0.0,0.0,False,False
Johnson & Johnson,Health care and pharmaceuticals,1.0,1.0,False,False
KB Financial Group,Financial services,1.0,1.0,False,False
KDDI,Telecommunications and media,0.0,1.0,True,False
Kia,Automotive,1.0,0.0,False,True
Koc Holding,Energy and utilities,0.0,0.0,False,False
Korea Electric Power,Energy and utilities,0.0,0.0,False,False
Kroger,Retail,0.0,0.0,False,False
LG Chem,Chemicals,1.0,1.0,False,False
LG Electronics,Industrial goods,0.0,,False,False
LG Electronics,Technology,,0.0,False,False
La Poste,Transportation and logistics,1.0,1.0,False,False
Landesbank Baden-Wurttemberg,Financial services,1.0,1.0,False,False
Lennar,Engineering and Construction,0.0,,False,False
Lennar,Engineering and construction,,0.0,False,False
Lenovo Group,Technology,1.0,1.0,False,False
Liberty Mutual Insurance Group,Financial services,0.0,0.0,False,False
Life Insurance Corp. of India,Financial services,0.0,0.0,False,False
Linde,Chemicals,0.0,0.0,False,False
Lloyds Banking Group,Financial services,1.0,1.0,False,False
Lockheed Martin,Aerospace and defense,0.0,0.0,False,False
Louis Dreyfus,"Food, beverages and agriculture",0.0,0.0,False,False
Lowe's,Retail,1.0,1.0,False,False
Lufthansa Group,Transportation and logistics,0.0,0.0,False,False
Lukoil,Oil and gas,1.0,0.0,False,True
Luxshare Precision Industry,Technology,0.0,0.0,False,False
LyondellBasell Industries,Chemicals,1.0,1.0,False,False
MS&AD Insurance Group Holdings,Financial services,1.0,1.0,False,False
Maersk Group,Transportation and logistics,1.0,1.0,False,False
Magna International,Automotive,1.0,1.0,False,False
Mapfre Group,Financial services,0.0,0.0,False,False
Marathon Petroleum,Oil and gas,0.0,0.0,False,False
Marubeni,Financial services,1.0,1.0,False,False
Massachusetts Mutual Life Insurance,Financial services,1.0,1.0,False,False
Mazda Motor,Automotive,0.0,0.0,False,False
McKesson,Health care and pharmaceuticals,,0.0,False,False
McKesson,Retail,0.0,,False,False
Meiji Yasuda Life Insurance,Financial services,1.0,1.0,False,False
Meituan,Retail,0.0,0.0,False,False
Mercadona,"Food, beverages and agriculture",0.0,,False,False
Mercadona,Retail,,0.0,False,False
Mercedes-Benz Group,Automotive,0.0,0.0,False,False
Merck,Health care and pharmaceuticals,0.0,1.0,True,False
MetLife,Financial services,1.0,1.0,False,False
Meta Platforms,Retail,,1.0,False,False
Meta Platforms,Technology,1.0,,False,False
Metro,"Food, beverages and agriculture",,0.0,False,False
Metro,Retail,0.0,,False,False
Microsoft,Technology,0.0,0.0,False,False
Midea Group,Industrial goods,0.0,,False,False
Midea Group,Technology,,0.0,False,False
Migros Group,Retail,1.0,1.0,False,False
Mitsubishi,Financial services,,1.0,False,False
Mitsubishi,Industrial goods,1.0,,False,False
Mitsubishi Electric,Industrial goods,1.0,,False,False
Mitsubishi Electric,Technology,,1.0,False,False
Mitsubishi Heavy Industries,Industrial goods,1.0,1.0,False,False
Mitsubishi UFJ Financial Group,Financial services,1.0,1.0,False,False
Mitsui,Financial services,0.0,1.0,True,False
Mizuho Financial Group,Financial services,1.0,1.0,False,False
Molina Healthcare,Health care and pharmaceuticals,0.0,0.0,False,False
Mondelez International,"Food, beverages and agriculture",1.0,1.0,False,False
Morgan Stanley,Financial services,1.0,1.0,False,False
Munich Re Group,Financial services,1.0,1.0,False,False
National Australia Bank,Financial services,1.0,1.0,False,False
Nationwide,Financial services,1.0,1.0,False,False
Netflix,Telecommunications and media,1.0,1.0,False,False
New Hope Holding Group,"Food, beverages and agriculture",0.0,0.0,False,False
New York Life Insurance,Financial services,1.0,0.0,False,True
Nike,Household and personal products,1.0,,False,False
Nike,Retail,,0.0,False,False
Nippon Life Insurance,Financial services,1.0,1.0,False,False
Nissan Motor,Automotive,0.0,0.0,False,False
Northrop Grumman,Aerospace and defense,1.0,1.0,False,False
Northwestern Mutual,Financial services,0.0,0.0,False,False
Novartis,Health care and pharmaceuticals,1.0,1.0,False,False
Novo Nordisk,Health care and pharmaceuticals,1.0,1.0,False,False
Nvidia,Technology,0.0,0.0,False,False
OMV Group,Oil and gas,1.0,1.0,False,False
Oil & Natural Gas,Metals and mining,0.0,1.0,True,False
Olam Group,"Food, beverages and agriculture",,1.0,False,False
Olam Group,Retail,1.0,,False,False
Oracle,Technology,1.0,1.0,False,False
Orange,Telecommunications and media,1.0,1.0,False,False
Orlen,Oil and gas,1.0,1.0,False,False
PBF Energy,Oil and gas,0.0,0.0,False,False
PDD Holdings,Retail,0.0,0.0,False,False
POSCO Holdings,Metals and mining,0.0,1.0,True,False
PTT,Oil and gas,1.0,1.0,False,False
Paccar,Automotive,0.0,,False,False
Paccar,Engineering and construction,,0.0,False,False
Pacific Construction Group,Engineering and construction,0.0,1.0,True,False
Panasonic Holdings,Industrial goods,1.0,,False,False
Panasonic Holdings,Technology,,1.0,False,False
Pegatron,Industrial goods,1.0,,False,False
Pegatron,Technology,,1.0,False,False
Pemex,Metals and mining,1.0,1.0,False,False
People's Insurance Co. of China,Financial services,0.0,0.0,False,False
PepsiCo,"Food, beverages and agriculture",1.0,1.0,False,False
Performance Food Group,"Food, beverages and agriculture",,0.0,False,False
Performance Food Group,Retail,1.0,,False,False
Pertamina,Oil and gas,0.0,1.0,True,False
Petrobras,Oil and gas,0.0,1.0,True,False
Petronas,Energy and utilities,,1.0,False,False
Petronas,Oil and gas,1.0,,False,False
Pfizer,Health care and pharmaceuticals,1.0,1.0,False,False
Philip Morris International,"Food, beverages and agriculture",1.0,,False,False
Philip Morris International,Household and personal products,,1.0,False,False
Phillips 66,Oil and gas,0.0,0.0,False,False
Phoenix Pharma,Health care and pharmaceuticals,,0.0,False,False
Phoenix Pharma,Retail,1.0,,False,False
Ping An Insurance,Financial services,0.0,0.0,False,False
Plains GP Holdings,Energy and utilities,,0.0,False,False
